wall_time,ros_time,tf_map__odom_stamp,tf_map__odom_x,tf_map__odom_y,tf_map__odom_z,tf_map__odom_yaw,tf_odom__base_footprint_stamp,tf_odom__base_footprint_x,tf_odom__base_footprint_y,tf_odom__base_footprint_z,tf_odom__base_footprint_yaw,tf_map__base_footprint_stamp,tf_map__base_footprint_x,tf_map__base_footprint_y,tf_map__base_footprint_z,tf_map__base_footprint_yaw,tf_map_ground__base_footprint_stamp,tf_map_ground__base_footprint_x,tf_map_ground__base_footprint_y,tf_map_ground__base_footprint_z,tf_map_ground__base_footprint_yaw,tf_odom_ground__base_footprint_stamp,tf_odom_ground__base_footprint_x,tf_odom_ground__base_footprint_y,tf_odom_ground__base_footprint_z,tf_odom_ground__base_footprint_yaw,status_stamp,status_converged,status_error,status_inlier,status_rel_x,status_rel_y,status_rel_yaw,hdl_odom_stamp,hdl_odom_x,hdl_odom_y,hdl_odom_z,hdl_odom_yaw,hdl_odom_vx,hdl_odom_vy,hdl_odom_wz,fastlio_odom_stamp,fastlio_odom_x,fastlio_odom_y,fastlio_odom_z,fastlio_odom_yaw,fastlio_odom_vx,fastlio_odom_vy,fastlio_odom_wz,robot_realpose_stamp,robot_realpose_x,robot_realpose_y,robot_realpose_z,robot_realpose_yaw,cmd_vx,cmd_vy,cmd_wz,plan_n,plan_len,local_plan_n,local_plan_len,goal_x,goal_y,goal_yaw,topic_fast_lio_cloud_registered_count,topic_fast_lio_cloud_registered_hz,topic_fast_lio_cloud_registered_stamp,topic_fast_lio_cloud_registered_age,topic_airy_points_filtered_count,topic_airy_points_filtered_hz,topic_airy_points_filtered_stamp,topic_airy_points_filtered_age,topic_airy_points_count,topic_airy_points_hz,topic_airy_points_stamp,topic_airy_points_age,topic_imu_standard_count,topic_imu_standard_hz,topic_imu_standard_stamp,topic_imu_standard_age,topic_airy_imu_count,topic_airy_imu_hz,topic_airy_imu_stamp,topic_airy_imu_age
2.229586,1778662861.385997,,,,,,1778662861.0902014,19.14025011483886,11.436298328560191,-1.2175907676263873,2.8558343536062276,,,,,,,,,,,1778662861.0902014,19.14025011483886,11.436298328560191,-0.0025907676263872137,2.8558343536062276,,,,,,,,,,,,,,,,1778662861.0901096,11.382067833661877,0.003312341874036494,-19.076910094508293,3.078175263763489,0.0,0.0,0.0,1778662861.1405194,0.033900005437701,0.15347878716384855,-0.0002755603728263889,-0.08128580551011771,,,,,,,,,,,5,9.803686868067109,1778662860.9765034,0.13238525390625,0,,nan,,6,9.927783803026594,1778662861.0764823,0.10880184173583984,299,198.11216662510108,1778662861.1844058,0.0035817623138427734,114,200.4070921958706,1778662861.18875,0.0003368854522705078
2.427944,1778662861.584363,,,,,,1778662861.1939628,19.140266980792546,11.434664625062675,-1.2190365424637677,2.855233657202302,,,,,,,,,,,1778662861.1939628,19.140266980792546,11.434664625062675,-0.004036542463767612,2.855233657202302,,,,,,,,,,,,,,,,1778662861.1938417,11.380351562423263,0.004754716091904642,-19.07706304602782,3.0781055556704433,0.0,0.0,0.0,1778662861.1405194,0.033900005437701,0.15347878716384855,-0.0002755603728263889,-0.08128580551011771,,,,,,,,,,,5,9.803686868067109,1778662860.9765034,0.13238525390625,0,,nan,,6,9.927783803026594,1778662861.0764823,0.10880184173583984,302,87.16545356001636,1778662861.198699,0.3246166706085205,116,87.24396044727905,1778662861.198699,0.32421398162841797
2.627956,1778662861.784374,,,,,,1778662861.1939628,19.140266980792546,11.434664625062675,-1.2190365424637677,2.855233657202302,,,,,,,,,,,1778662861.1939628,19.140266980792546,11.434664625062675,-0.004036542463767612,2.855233657202302,,,,,,,,,,,,,,,,1778662861.1938417,11.380351562423263,0.004754716091904642,-19.07706304602782,3.0781055556704433,0.0,0.0,0.0,1778662861.1405194,0.033900005437701,0.15347878716384855,-0.0002755603728263889,-0.08128580551011771,,,,,,,,,,,5,9.803686868067109,1778662860.9765034,0.13238525390625,0,,nan,,6,9.927783803026594,1778662861.0764823,0.10880184173583984,302,87.16545356001636,1778662861.198699,0.3246166706085205,116,87.24396044727905,1778662861.198699,0.32421398162841797
2.827707,1778662861.984120,,,,,,1778662861.5899017,19.148391527876235,11.434241101335425,-1.2155200479711454,2.855050768919176,,,,,,,,,,,1778662861.5899017,19.148391527876235,11.434241101335425,-0.0005200479711453543,2.855050768919176,,,,,,,,,,,,,,,,1778662861.5897985,11.381594199314856,0.0011291532642967747,-19.085877061064647,3.0796364131485867,0.0,0.0,0.0,1778662861.6403964,0.036447882929294906,0.16590355475444163,0.001105190102437703,-0.08707836917457955,,,,,,,,,,,11,8.357576319127082,1778662861.7764857,0.12090730667114258,0,,nan,,13,9.243602738279439,1778662861.8764946,0.10333633422851562,336,58.1641001803317,1778662861.9787898,0.0016243457794189453,150,58.094800407437475,1778662861.9787898,0.0016989707946777344
3.028011,1778662862.184420,,,,,,1778662861.5899017,19.148391527876235,11.434241101335425,-1.2155200479711454,2.855050768919176,,,,,,,,,,,1778662861.5899017,19.148391527876235,11.434241101335425,-0.0005200479711453543,2.855050768919176,,,,,,,,,,,,,,,,1778662861.5897985,11.381594199314856,0.0011291532642967747,-19.085877061064647,3.0796364131485867,0.0,0.0,0.0,1778662861.6403964,0.036447882929294906,0.16590355475444163,0.001105190102437703,-0.08707836917457955,,,,,,,,,,,13,8.604889017149718,1778662861.9764907,0.11897110939025879,1,,1778662862.1125436,0.05168724060058594,15,9.330281302305835,1778662862.0765386,0.10562586784362793,376,200.08338588679555,1778662862.1787848,0.0035779476165771484,191,200.2905291508087,1778662862.1837149,0.00029969215393066406
3.227848,1778662862.384258,1778662859.4514663,16.429447258480476,15.211148697353387,1.7117145456330642,-2.933657791815721,1778662861.5899017,19.148391527876235,11.434241101335425,-1.2155200479711454,2.855050768919176,1778662859.4514663,0.03718914874127677,0.15928010736503317,-0.0005881867237009786,-0.0796217551566136,1778662859.4514663,0.03718914874127677,0.15928010736503317,1.214411813276299,-0.0796217551566136,1778662861.5899017,19.148391527876235,11.434241101335425,-0.0005200479711453543,2.855050768919176,1778662862.1764996,1,0.050313808023929596,0.951422929763794,0.035308774560689926,0.16297289729118347,-0.06785488645996818,1778662862.356914,0.035554781556129456,0.162847638130188,0.0,-0.08183018356890047,0.0,0.0,0.0,1778662861.5897985,11.381594199314856,0.0011291532642967747,-19.085877061064647,3.0796364131485867,0.0,0.0,0.0,1778662862.340476,0.04061938263467013,0.1621398578809412,0.0003940684667051997,-0.08183564528646227,,,,,,,,,,,15,8.689029969919988,1778662862.1764996,0.13564205169677734,3,9.964670036289771,1778662862.3141997,0.05079364776611328,17,9.41836096412752,1778662862.2809505,0.09954428672790527,416,202.04827611455704,1778662862.378805,0.0017652511596679688,230,202.90568520453579,1778662862.378805,0.0009639263153076172
3.427713,1778662862.584124,1778662862.5371375,16.526483470824388,15.10348148988066,1.7306541373241973,-2.940312893280363,1778662861.5899017,19.148391527876235,11.434241101335425,-1.2155200479711454,2.855050768919176,1778662861.5899017,0.037982773177681395,0.16309672185045798,0.001085272708072571,-0.08533155528911027,1778662861.5899017,0.037982773177681395,0.16309672185045798,1.2160852727080727,-0.08533155528911027,1778662861.5899017,19.148391527876225,11.434241101335425,-0.0005200479711454948,2.855050768919176,1778662862.3764975,1,0.05053943395614624,0.9513745903968811,0.03405631333589554,0.16325800120830536,-0.06810791720932001,1778662862.5371375,0.03422175347805023,0.16296924650669098,0.0,-0.0860920457396746,0.0,0.0,0.0,1778662861.5897985,11.381594199314856,0.0011291532642967747,-19.085877061064647,3.0796364131485867,0.0,0.0,0.0,1778662862.540257,0.03919032601084638,0.16057739016000205,-0.0009911115551490823,-0.08334153727127361,,,,,,,,,,,17,8.901318375080661,1778662862.3764975,0.12190818786621094,5,10.607688752403407,1778662862.4909248,0.050443172454833984,19,9.483180983965099,1778662862.4768636,0.10291504859924316,456,199.4719180635981,1778662862.5787892,0.0013010501861572266,270,199.2011633948561,1778662862.5787892,0.0013535022735595703
3.627686,1778662862.784094,1778662862.7584023,16.52221644055369,15.141429914878064,1.6669814641479797,-2.9384128947260173,1778662861.5899017,19.148391527876235,11.434241101335425,-1.2155200479711454,2.855050768919176,1778662861.5899017,0.037982773177681395,0.16309672185045798,0.001085272708072571,-0.08533155528911027,1778662861.5899017,0.037982773177681395,0.16309672185045798,1.2160852727080727,-0.08533155528911027,1778662861.5899017,19.148391527876225,11.434241101335425,-0.0005200479711454948,2.855050768919176,1778662862.5765367,1,0.05037651211023331,0.9512152671813965,0.05097346007823944,0.16624604165554047,-0.06899760833835777,1778662862.7584023,0.05019114539027214,0.16598771512508392,0.0,-0.08367643020777892,0.0,0.0,0.0,1778662861.5897985,11.381594199314856,0.0011291532642967747,-19.085877061064647,3.0796364131485867,0.0,0.0,0.0,1778662862.7402964,0.03713642951602125,0.16175104278805996,0.0004590609536447854,-0.081417750875775,,,,,,,,,,,19,8.96106258259587,1778662862.5765367,0.13307809829711914,7,10.16044375844573,1778662862.704003,0.050803184509277344,21,9.521946222837803,1778662862.6765037,0.10559225082397461,496,201.0487908227927,1778662862.778791,0.0011029243469238281,310,200.73050269918448,1778662862.778791,0.0006096363067626953
3.827809,1778662862.984226,1778662862.9359882,16.47830921724912,15.17622333509848,1.6792825867987853,-2.935570973023901,1778662861.5899017,19.148391527876235,11.434241101335425,-1.2155200479711454,2.855050768919176,1778662861.5899017,0.037982773177681395,0.16309672185045798,0.001085272708072571,-0.08533155528911027,1778662861.5899017,0.037982773177681395,0.16309672185045798,1.2160852727080727,-0.08533155528911027,1778662861.5899017,19.148391527876225,11.434241101335425,-0.0005200479711454948,2.855050768919176,1778662862.7768426,1,0.05051552504301071,0.9511858820915222,0.04602430388331413,0.16031023859977722,-0.06775180906639638,1778662862.9359882,0.04629143700003624,0.16050094366073608,0.0,-0.08138328568935285,0.0,0.0,0.0,1778662861.5897985,11.381594199314856,0.0011291532642967747,-19.085877061064647,3.0796364131485867,0.0,0.0,0.0,1778662862.940278,0.04685493431986032,0.16337199732832275,-0.0010689171269333553,-0.08196561481189106,,,,,,,,,,,21,9.107025743504686,1778662862.7768426,0.12018752098083496,9,9.893903595096457,1778662862.9210367,0.051772117614746094,23,9.571965762173788,1778662862.8769126,0.10311174392700195,536,200.89336946661265,1778662862.9788048,0.0023081302642822266,350,199.46186293578594,1778662862.9788048,0.0025031566619873047
4.027722,1778662863.184141,1778662863.1391864,16.479963506084488,15.174156353111384,1.6867369163015025,-2.93612237590236,1778662861.5899017,19.148391527876235,11.434241101335425,-1.2155200479711454,2.855050768919176,1778662861.5899017,0.037982773177681395,0.16309672185045798,0.001085272708072571,-0.08533155528911027,1778662861.5899017,0.037982773177681395,0.16309672185045798,1.2160852727080727,-0.08533155528911027,1778662861.5899017,19.148391527876225,11.434241101335425,-0.0005200479711454948,2.855050768919176,1778662862.9767485,1,0.050082072615623474,0.9522821307182312,0.043273840099573135,0.16506269574165344,-0.06808253504250442,1778662863.1391864,0.04318380355834961,0.1651182472705841,0.0,-0.08213703821067764,0.0,0.0,0.0,1778662861.5897985,11.381594199314856,0.0011291532642967747,-19.085877061064647,3.0796364131485867,0.0,0.0,0.0,1778662863.140227,0.04227228662554339,0.16545534513381988,0.0004869501914892549,-0.08231415076081695,,,,,,,,,,,23,9.181100569682874,1778662862.9767485,0.12040233612060547,11,9.888282762700065,1778662863.124742,0.050843000411987305,25,9.609473144903076,1778662863.0767455,0.10247445106506348,576,199.57157553051073,1778662863.1788008,0.0010440349578857422,390,199.5692965335318,1778662863.1788008,0.0007781982421875
