wall_time,stamp,accepted,keyframe_id,sc_distance,gicp_fitness,best_x,best_y,best_z,best_yaw_deg,odom_x,odom_y,odom_z,odom_yaw_deg,error_xy,error_z,error_yaw_deg,cloud_frame_mode,raw_json
1779713706.735489,1779710000.0,False,709,0,0,-0.291943,-0.0262185,0.416026,-6.3043,-0.783648,0.013772,0.033047,23.021,0.493328,0.382979,29.325,registered,"{""stamp"":1.77971e+09,""mode"":""global_recovery"",""cloud_frame_mode"":""registered"",""odom_gate_enabled"":true,""max_odom_consistency_distance"":0,""candidate_confidence_gate_enabled"":true,""min_sc_distance_gap"":0.03,""global_recovery_consistency_count"":2,""accepted"":false,""gicp_fitness"":0,""best_pose"":{""x"":-0.291943,""y"":-0.0262185,""z"":0.416026,""yaw_deg"":-6.3043},""candidates"":[{""keyframe_id"":709,""distance"":0,""yaw_deg"":148,""x"":-0.291943,""y"":-0.0262185},{""keyframe_id"":707,""distance"":0,""yaw_deg"":148,""x"":0.388354,""y"":-0.0501602},{""keyframe_id"":31,""distance"":0,""yaw_deg"":148,""x"":-0.0522957,""y"":-0.0178208},{""keyframe_id"":708,""distance"":0,""yaw_deg"":148,""x"":-0.184192,""y"":-0.043464},{""keyframe_id"":338,""distance"":0,""yaw_deg"":148,""x"":7.0479,""y"":0.0259613}]}"
1779713708.734075,1779710000.0,False,335,0,0,6.28512,0.0561299,-6.29497,165.479,-0.463140,-0.003015,0.152264,0.480,6.748519,6.447234,164.999,registered,"{""stamp"":1.77971e+09,""mode"":""global_recovery"",""cloud_frame_mode"":""registered"",""odom_gate_enabled"":true,""max_odom_consistency_distance"":0,""candidate_confidence_gate_enabled"":true,""min_sc_distance_gap"":0.03,""global_recovery_consistency_count"":2,""accepted"":false,""gicp_fitness"":0,""best_pose"":{""x"":6.28512,""y"":0.0561299,""z"":-6.29497,""yaw_deg"":165.479},""candidates"":[{""keyframe_id"":335,""distance"":0,""yaw_deg"":148,""x"":6.28512,""y"":0.0561299},{""keyframe_id"":367,""distance"":0,""yaw_deg"":148,""x"":11.5884,""y"":-0.0810282},{""keyframe_id"":31,""distance"":0,""yaw_deg"":148,""x"":-0.0522957,""y"":-0.0178208},{""keyframe_id"":27,""distance"":0,""yaw_deg"":148,""x"":0.182214,""y"":-0.0158857},{""keyframe_id"":66,""distance"":0,""yaw_deg"":148,""x"":0.27679,""y"":-0.0152098}]}"
1779713712.630443,1779710000.0,False,55,0,0.097867,-2.55298,0.109562,-2.39108,178.415,0.076696,-0.002705,-0.021761,-0.005,2.632071,2.369319,178.420,registered,"{""stamp"":1.77971e+09,""mode"":""global_recovery"",""cloud_frame_mode"":""registered"",""odom_gate_enabled"":true,""max_odom_consistency_distance"":0,""candidate_confidence_gate_enabled"":true,""min_sc_distance_gap"":0.03,""global_recovery_consistency_count"":3,""accepted"":false,""gicp_fitness"":0.097867,""best_pose"":{""x"":-2.55298,""y"":0.109562,""z"":-2.39108,""yaw_deg"":178.415},""candidates"":[{""keyframe_id"":55,""distance"":0,""yaw_deg"":140,""x"":0.41815,""y"":-0.0214308},{""keyframe_id"":28,""distance"":0,""yaw_deg"":148,""x"":0.169911,""y"":-0.0144486},{""keyframe_id"":27,""distance"":0,""yaw_deg"":148,""x"":0.182214,""y"":-0.0158857},{""keyframe_id"":26,""distance"":0,""yaw_deg"":148,""x"":0.13771,""y"":-0.0112318},{""keyframe_id"":25,""distance"":1.23978e-05,""yaw_deg"":140,""x"":0.0743368,""y"":-0.00741974}]}"
1779713716.673334,1779710000.0,False,55,0.000378221,0.0866357,-0.984109,0.0605389,-1.50365,177.883,0.306397,-0.019450,-0.996265,165.042,1.292982,0.507385,12.841,registered,"{""stamp"":1.77971e+09,""mode"":""global_recovery"",""cloud_frame_mode"":""registered"",""odom_gate_enabled"":true,""max_odom_consistency_distance"":0,""candidate_confidence_gate_enabled"":true,""min_sc_distance_gap"":0.03,""global_recovery_consistency_count"":3,""accepted"":false,""gicp_fitness"":0.0866357,""best_pose"":{""x"":-0.984109,""y"":0.0605389,""z"":-1.50365,""yaw_deg"":177.883},""candidates"":[{""keyframe_id"":55,""distance"":0.000378221,""yaw_deg"":136,""x"":0.41815,""y"":-0.0214308},{""keyframe_id"":56,""distance"":0.000653505,""yaw_deg"":152,""x"":0.475072,""y"":-0.0275881},{""keyframe_id"":25,""distance"":0.00106961,""yaw_deg"":140,""x"":0.0743368,""y"":-0.00741974},{""keyframe_id"":26,""distance"":0.00198472,""yaw_deg"":136,""x"":0.13771,""y"":-0.0112318},{""keyframe_id"":49,""distance"":0.00830126,""yaw_deg"":148,""x"":-0.314264,""y"":-0.00525821}]}"
1779713718.730409,1779710000.0,False,47,0,0,-0.540744,-0.00661233,0.14432,177.843,0.315680,-0.017144,-0.978224,161.722,0.856489,1.122544,16.121,registered,"{""stamp"":1.77971e+09,""mode"":""global_recovery"",""cloud_frame_mode"":""registered"",""odom_gate_enabled"":true,""max_odom_consistency_distance"":0,""candidate_confidence_gate_enabled"":true,""min_sc_distance_gap"":0.03,""global_recovery_consistency_count"":3,""accepted"":false,""gicp_fitness"":0,""best_pose"":{""x"":-0.540744,""y"":-0.00661233,""z"":0.14432,""yaw_deg"":177.843},""candidates"":[{""keyframe_id"":47,""distance"":0,""yaw_deg"":120,""x"":-0.540744,""y"":-0.00661233},{""keyframe_id"":205,""distance"":0,""yaw_deg"":124,""x"":2.40072,""y"":-0.157182},{""keyframe_id"":59,""distance"":0.0092055,""yaw_deg"":0,""x"":0.32395,""y"":-0.0124814},{""keyframe_id"":62,""distance"":0.014282,""yaw_deg"":0,""x"":0.316294,""y"":-0.0257831},{""keyframe_id"":61,""distance"":0.015037,""yaw_deg"":0,""x"":0.32152,""y"":-0.0193897}]}"
1779713720.741239,1779710000.0,False,667,0,0,12.0954,-0.0490519,-6.1114,-0.960684,0.313619,-0.021729,-0.976071,157.577,11.781813,5.135329,158.538,registered,"{""stamp"":1.77971e+09,""mode"":""global_recovery"",""cloud_frame_mode"":""registered"",""odom_gate_enabled"":true,""max_odom_consistency_distance"":0,""candidate_confidence_gate_enabled"":true,""min_sc_distance_gap"":0.03,""global_recovery_consistency_count"":3,""accepted"":false,""gicp_fitness"":0,""best_pose"":{""x"":12.0954,""y"":-0.0490519,""z"":-6.1114,""yaw_deg"":-0.960684},""candidates"":[{""keyframe_id"":667,""distance"":0,""yaw_deg"":120,""x"":12.0954,""y"":-0.0490519},{""keyframe_id"":47,""distance"":0,""yaw_deg"":120,""x"":-0.540744,""y"":-0.00661233},{""keyframe_id"":205,""distance"":0,""yaw_deg"":124,""x"":2.40072,""y"":-0.157182},{""keyframe_id"":58,""distance"":0.0156889,""yaw_deg"":0,""x"":0.344252,""y"":-0.00904987},{""keyframe_id"":65,""distance"":0.0174619,""yaw_deg"":0,""x"":0.312552,""y"":-0.0188219}]}"
1779713722.718878,1779710000.0,False,34,8.32677e-05,0,-0.455846,0.00254476,-0.806408,-1.2781,-0.163932,-0.008355,-1.024202,174.696,0.292118,0.217794,175.974,registered,"{""stamp"":1.77971e+09,""mode"":""global_recovery"",""cloud_frame_mode"":""registered"",""odom_gate_enabled"":true,""max_odom_consistency_distance"":0,""candidate_confidence_gate_enabled"":true,""min_sc_distance_gap"":0.03,""global_recovery_consistency_count"":3,""accepted"":false,""gicp_fitness"":0,""best_pose"":{""x"":-0.455846,""y"":0.00254476,""z"":-0.806408,""yaw_deg"":-1.2781},""candidates"":[{""keyframe_id"":34,""distance"":8.32677e-05,""yaw_deg"":140,""x"":-0.455846,""y"":0.00254476},{""keyframe_id"":35,""distance"":0.00011009,""yaw_deg"":140,""x"":-0.571535,""y"":0.00723534},{""keyframe_id"":46,""distance"":0.00139195,""yaw_deg"":148,""x"":-0.664906,""y"":0.0029154},{""keyframe_id"":366,""distance"":0.00244051,""yaw_deg"":140,""x"":11.8541,""y"":-0.0951462},{""keyframe_id"":45,""distance"":0.0104073,""yaw_deg"":152,""x"":-0.797244,""y"":0.0180306}]}"
1779713724.727685,1779710000.0,False,666,0,0,12.8098,-0.0430803,-6.14368,-0.14493,-0.785451,-0.001540,-0.967467,138.078,13.595314,5.176213,138.223,registered,"{""stamp"":1.77971e+09,""mode"":""global_recovery"",""cloud_frame_mode"":""registered"",""odom_gate_enabled"":true,""max_odom_consistency_distance"":0,""candidate_confidence_gate_enabled"":true,""min_sc_distance_gap"":0.03,""global_recovery_consistency_count"":3,""accepted"":false,""gicp_fitness"":0,""best_pose"":{""x"":12.8098,""y"":-0.0430803,""z"":-6.14368,""yaw_deg"":-0.14493},""candidates"":[{""keyframe_id"":666,""distance"":0,""yaw_deg"":112,""x"":12.8098,""y"":-0.0430803},{""keyframe_id"":47,""distance"":0,""yaw_deg"":112,""x"":-0.540744,""y"":-0.00661233},{""keyframe_id"":203,""distance"":0,""yaw_deg"":112,""x"":1.21082,""y"":-0.117803},{""keyframe_id"":77,""distance"":0,""yaw_deg"":112,""x"":-2.18487,""y"":0.0459576},{""keyframe_id"":48,""distance"":0,""yaw_deg"":116,""x"":-0.439793,""y"":-0.0121921}]}"
1779713726.726114,1779710000.0,False,78,0,0,-2.83189,0.0496809,-0.496324,0.295009,-1.382942,0.016536,-0.294983,170.128,1.449327,0.201341,169.833,registered,"{""stamp"":1.77971e+09,""mode"":""global_recovery"",""cloud_frame_mode"":""registered"",""odom_gate_enabled"":true,""max_odom_consistency_distance"":0,""candidate_confidence_gate_enabled"":true,""min_sc_distance_gap"":0.03,""global_recovery_consistency_count"":3,""accepted"":false,""gicp_fitness"":0,""best_pose"":{""x"":-2.83189,""y"":0.0496809,""z"":-0.496324,""yaw_deg"":0.295009},""candidates"":[{""keyframe_id"":78,""distance"":0,""yaw_deg"":96,""x"":-2.83189,""y"":0.0496809},{""keyframe_id"":206,""distance"":0,""yaw_deg"":136,""x"":3.06155,""y"":-0.183246},{""keyframe_id"":576,""distance"":0,""yaw_deg"":108,""x"":14.7314,""y"":-0.0709421},{""keyframe_id"":205,""distance"":0,""yaw_deg"":124,""x"":2.40072,""y"":-0.157182},{""keyframe_id"":207,""distance"":0,""yaw_deg"":140,""x"":3.81785,""y"":-0.201224}]}"
1779713728.730742,1779710000.0,False,670,0,0,10.3721,-0.0326715,-6.13089,-0.181999,-2.006159,0.028645,-0.476875,157.198,12.378411,5.654015,157.380,registered,"{""stamp"":1.77971e+09,""mode"":""global_recovery"",""cloud_frame_mode"":""registered"",""odom_gate_enabled"":true,""max_odom_consistency_distance"":0,""candidate_confidence_gate_enabled"":true,""min_sc_distance_gap"":0.03,""global_recovery_consistency_count"":3,""accepted"":false,""gicp_fitness"":0,""best_pose"":{""x"":10.3721,""y"":-0.0326715,""z"":-6.13089,""yaw_deg"":-0.181999},""candidates"":[{""keyframe_id"":670,""distance"":0,""yaw_deg"":132,""x"":10.3721,""y"":-0.0326715},{""keyframe_id"":327,""distance"":0,""yaw_deg"":132,""x"":6.12987,""y"":0.109082},{""keyframe_id"":44,""distance"":0,""yaw_deg"":132,""x"":-0.884486,""y"":0.0274471},{""keyframe_id"":173,""distance"":0,""yaw_deg"":132,""x"":-0.108394,""y"":-0.0738823},{""keyframe_id"":43,""distance"":0,""yaw_deg"":132,""x"":-0.907737,""y"":0.0325108}]}"
