cloud_index,x_m,y_m,z_m,yaw_deg,range_descriptor,angle_descriptor,source_id,cloud_path
7920,8.415408,17.365034,0,-84.724971,0;0;0;0;8.7070713;9.37373734;3.64646482;0.484848499;3.36363649;10.757576;19.5050507;25.1010094;20.757576;14.6868687;6.86868715;8.37373734;11.030303;14.5050497;10.8888884;11.5252523;10.5555563;5.03030252;1.30303025;4.21212101;12.3535347;8.42424202;16.636364;35.6969719;0;1.21212125;0;7.090909;4.15151501;0.434343427;8.21212196;13.30303;4.4848485;33.242424;23.030302;0,8.65656471;7.80808067;7.41414165;10.181818;14.8585863;16.7474747;28.030304;29.4646454;33.0303078;31.69697;19.030304;11.818182;18.0909081;10.2828283;0.161616161;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.03030324;6.18181753;5.17171717;4.4242425;2.98989916;13.3434343;8.53535366;6.40404081;6.08080816;4.82828331;20.545454;26.7777767;4.64646435;8.71717072,46,solid_clouds/keyframe_531.pcd
8000,10.996783,16.616879,0,-16.543086,0;0;0;1.32530129;1.43975902;2.24698806;11.5903616;10.7469883;6.57831335;12.451807;29.4638577;13.3072281;16.3012047;29.7650604;19.1265087;25.6506042;18.6385555;14.6144581;8.62650585;21.6746998;10.9277105;8.18674755;14.6867466;2.01204824;6.1385541;9.39156628;10.3554211;8.36746979;8.52409649;13.7469883;16.4578323;36.6385574;35.0361443;29.981926;22.6325302;11.0783138;74.608429;42.1265068;5.16867447;3.44578314,32.518074;46.3855438;41.2530136;45.030117;34.0301208;26.8012066;27.6445789;20.2891579;16.8855419;13.8975906;5.09036207;3.44578314;4.68674755;6.92771101;2.45783114;1.13253009;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.66867495;5.28915691;2.89156651;5.66867495;6.93373489;3.0361445;8.77108479;7.07831287;9.28313255;11.8975916;24.6144562;25.9698811;39.5301208;71.7891617;56.1626549,46,solid_clouds/keyframe_532.pcd
8080,11.426513,16.50309,0,-74.388576,0;0;0;0;0;5.225564;9.17293167;0;0;3.45864677;38.6466179;27.646616;33.7969933;27.4812031;29.1954899;21.1503754;11.969924;8.5714283;14.774435;15.2030077;11.4736834;8.24060154;1.9774437;3.35338354;1.9774437;13.3157902;7.18797016;2.17293239;20.6917286;25.3308277;35.7293243;28.4285717;16.1804504;4.63909769;13.1203003;38.4285698;16.9624062;15.8345871;4.53383446;10.4661655,9.48872185;8.86466217;14.4962416;17.3759403;26.1127815;25.4812031;34.6315804;30.2781963;31.7969933;34.5864677;27.1353378;33.3233109;33.1578941;15.4812021;5.46616554;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.4285717;10.7142859;18.9473686;12.030076;12.5563917;36.0300751;28.4210529;15.2180452;6.57142878;3.83458638;4.24060202;3.75939846;4.69172955;5.774436;6.44360971,46,solid_clouds/keyframe_533.pcd
8160,11.429125,16.510512,0,-74.448625,0;0;0;0;0;3.6875;5.296875;0;0;4.3203125;37.3671875;26.1875;36.578125;21.7734375;29.875;21.4453125;12.46875;11.8828125;20.21875;16.109375;12.4609375;8.921875;1.9453125;3.3828125;1.90625;9.1484375;5.3359375;4.09375;23.53125;25.5546875;41.4765625;33.1484375;19.7421875;3.796875;11.1640625;31.3515625;21.859375;16.71875;4.953125;9.1875,9.4140625;7.703125;13.421875;19.4921875;22.4765625;29.34375;35.2890625;31.1875;33.2734375;41.5;31.6640625;34.6484375;29.3984375;13.4609375;9.1796875;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.8203125;13.4453125;15.734375;6.234375;13.921875;30.2578125;29.2265625;18.0234375;7.3046875;4.7109375;4.1875;2.8671875;6;6.03125;6.671875,46,solid_clouds/keyframe_534.pcd
8240,11.431906,16.505591,0,-74.421311,0;0;0;0;0;8.55147076;0.948529422;0;0;2.60294104;37.1544113;22.0147038;31.8676491;28.0588226;28.1764717;22.669117;13.5367661;13.6323528;17.6691189;13.9264698;12.2720585;9.30882359;1.86764705;6.27941132;2.34558821;10.5882349;5.72794104;4.125;20.8088226;26.625;34.0514679;28.5000019;17.7279415;1.89705884;18.9117661;37.2573547;23.5073528;19.6102943;1.6102941;9.88235283,8.11764717;9.50000095;13.9705877;16.9485283;23;28.4411755;35.9632339;32.5514717;30.2573528;39.6102943;27.8529396;34.75;33.6029434;14.9485292;7.32352924;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.55147076;18.6617641;19.5955887;10.4632349;5.74264669;31.3676491;31.3235302;15.2426472;7.79411793;3.91176486;3.75735283;3.7352941;4.67647076;5.73529434;6.31617689,46,solid_clouds/keyframe_535.pcd
8320,11.428784,16.504594,0,-74.403883,0;0;0;0;0;6.70370388;2.95555544;0;0;4.69629669;35.4814835;25.3037033;38.0962982;23.2666683;27.4370365;20.748148;14.7851858;11.8592587;16.7629623;14.585186;13.3185177;11.0888882;0;1.39999998;3.35555553;11.4962969;6.20000029;2.73333335;18.0666676;31.0000019;37.9925919;29.8148155;18.9629631;6.34074068;6.8296299;38.9037018;22.8296299;17.4666672;3.59259272;11.0592585,9.17037106;9.25925922;13.5259256;16.5703697;22.0296307;28.3185196;33.2740746;33.2370377;26.8666668;43.5185204;29.3037052;36.5777779;31.2444458;15.251852;7.00740767;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.43703747;14.3185186;20.5037041;7.13333321;11.8296289;33.3185196;30.2000008;17.8518505;8.43703651;2.94814825;3.91111112;2.74074101;6.20000029;5.84444475;6.30370426,46,solid_clouds/keyframe_536.pcd
9440,18.007319,15.867046,0,-126.740842,0;0;0;0;0;0;1.25833333;0.291666687;1.33333325;18.791666;54.5166626;43.7333336;32.6333313;33.2666664;27.7249985;23.4999981;24.166666;46.4333344;41.2500038;16.5666676;17.208334;8.36666679;10.6000004;56.5250053;22.9916668;23.4083328;11.0500002;66.125;19.4666672;3.55000019;0;0;0;0;0;0;0;0;0;0,13.1166668;12.2583332;8.4333334;10.6666679;7.2166667;7.6583333;4.3166666;7.23333359;13.708333;11.666667;26.1249981;25.0916672;27.3416672;33.3666649;9.22500038;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.0916672;24.0083332;33.2166672;33.9249992;29.875;38.8166656;38.9916687;33.7250023;37.3833313;12.6999998;25.7666664;19.6666679;17;13.0500002;18.1166668,46,solid_clouds/keyframe_537.pcd
9520,18.004997,15.865497,0,-126.789917,0;0;0;0;0;0;0.888888955;0.299145311;1.29914534;19.6752129;52.4957275;48.1880341;28.5897446;34.6410255;30.2136765;22.2820511;27.0683784;50.6666679;42.239315;19.5299149;17.6752148;8.58119678;9.30769253;55.7863274;23.7350426;21.8803425;15.0598288;68.3076935;19.1794872;3.64102578;0;0;0;0;0;0;0;0;0;0,11.8205128;13.1452971;8.6153841;10.9145298;7.38461542;7.82906008;4.8717947;5.97435904;16.1623936;11.0854702;22.2051277;28.658123;27.9572659;35.0854683;8.6153841;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.8717947;25.3589725;34.6666641;40.8632507;30.4358959;35.1538467;35.8205109;38.239315;39.4529915;12.0769234;27.6666679;20.615387;17.521368;13.5299149;17.6324806,46,solid_clouds/keyframe_538.pcd
9600,18.002159,15.868495,0,-126.827658,0;0;0;0;0;0;1.19130433;0.278260857;1.88695657;19.1652164;50.7043457;50.8782616;30.1565208;34.4173927;27.7304344;23.1565228;26.1565228;49.9913063;40.9043465;17.5391312;17.2782593;8.26086998;13.478261;56.1565247;24.7130432;19.3304348;13.2347822;70.4260864;15.9304352;4.7652173;0;0;0;0;0;0;0;0;0;0,11.7478266;15.1043472;8.1826086;10.8695641;7.8434782;7.8434782;4.80869579;5.99130392;15.3391304;11.347826;23.0956516;24.5826092;28.9043484;35.391304;8.31304359;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.3739119;24.0521736;35.4521751;37.5130424;31.8000011;36.1913071;40.086956;33.9478264;40.1652145;11.9913044;27.086956;20.5565224;17.4260864;13.4608698;17.2608681,46,solid_clouds/keyframe_539.pcd
9680,18.003473,15.86687,0,-126.803102,0;0;0;0;0;0;0.829059839;0.264957279;1.19658124;18.1538448;49.4957314;47.9658165;28.75214;34.0598335;27.7948742;22.2905979;25.7948723;48.5384636;42.5897446;17.2478638;16.9316235;8.16239357;11.7692308;60.3504295;17.9230766;20.7008553;13.1196585;70.2991486;17.3504276;6.55555582;0;0;0;0;0;0;0;0;0;0,11.1880341;13.8205118;8.41025639;10.7008543;7.64957285;7.9572649;4.75213671;5.82051277;14.9316235;10.7692308;20.9572659;25.0769234;28.9829082;33.4017105;8.1709404;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.89743614;24.8461552;33.9401703;41.5213699;32.4444427;35.9829063;37.7264977;35.8888893;37.1709442;12.333334;27.2905979;20.0598297;17.0427361;13.1196585;16.2820511,46,solid_clouds/keyframe_540.pcd
