wall_time,ros_time,msg_stamp,has_converged,matching_error,inlier_fraction,relative_x,relative_y,relative_z,relative_yaw
1.497405,1778659230.268735,1778659229.641531,1,0.005632,0.994691,-1.226100,6.069308,0.344293,1.195018
1.498067,1778659230.269389,1778659229.741567,1,0.005510,0.995238,-1.230334,6.077477,0.341182,1.195058
1.498538,1778659230.269860,1778659229.841542,1,0.005625,0.994982,-1.234057,6.074519,0.343388,1.194075
1.498942,1778659230.270263,1778659229.941549,1,0.005641,0.994876,-1.237754,6.077817,0.344947,1.194063
1.499423,1778659230.270743,1778659230.041621,1,0.005601,0.994817,-1.238942,6.072980,0.341416,1.193885
1.905443,1778659230.676772,1778659230.141555,1,0.005617,0.994746,-1.238650,6.080686,0.341686,1.193570
1.921060,1778659230.692389,1778659230.241537,1,0.005930,0.994606,-1.230098,6.070827,0.342844,1.196088
1.926553,1778659230.697880,1778659230.341555,1,0.005541,0.995232,-1.232245,6.069327,0.344174,1.192973
1.931025,1778659230.702347,1778659230.446285,1,0.006219,0.994134,-1.234804,6.073180,0.339919,1.194011
1.977176,1778659230.748505,1778659230.541574,1,0.006060,0.994388,-1.231851,6.062638,0.342453,1.194474
2.072937,1778659230.844262,1778659230.641578,1,0.006227,0.994225,-1.230928,6.067565,0.341004,1.194407
2.206447,1778659230.977775,1778659230.741574,1,0.005998,0.994607,-1.226780,6.067635,0.346827,1.194366
2.295155,1778659231.066482,1778659230.842022,1,0.006000,0.994291,-1.230196,6.065774,0.343551,1.192670
2.378138,1778659231.149465,1778659230.941670,1,0.006035,0.994599,-1.225414,6.069752,0.341774,1.194088
2.469894,1778659231.241224,1778659231.041571,1,0.006221,0.994024,-1.227813,6.063465,0.342631,1.193586
2.581347,1778659231.352671,1778659231.141582,1,0.005810,0.995009,-1.223171,6.065274,0.343843,1.193361
2.672590,1778659231.443923,1778659231.241572,1,0.005700,0.995077,-1.219308,6.070379,0.341644,1.194161
2.777729,1778659231.549054,1778659231.341568,1,0.005757,0.994870,-1.220975,6.066013,0.344382,1.194457
2.887145,1778659231.658472,1778659231.446207,1,0.005628,0.994809,-1.221042,6.069021,0.339922,1.193857
3.021224,1778659231.792548,1778659231.541944,1,0.005583,0.994934,-1.220573,6.067067,0.341736,1.194288
3.108111,1778659231.879434,1778659231.641892,1,0.005706,0.994636,-1.218538,6.067070,0.345506,1.195341
