wall_time,ros_time,tf_map__odom_stamp,tf_map__odom_x,tf_map__odom_y,tf_map__odom_z,tf_map__odom_yaw,tf_odom__base_footprint_stamp,tf_odom__base_footprint_x,tf_odom__base_footprint_y,tf_odom__base_footprint_z,tf_odom__base_footprint_yaw,tf_map__base_footprint_stamp,tf_map__base_footprint_x,tf_map__base_footprint_y,tf_map__base_footprint_z,tf_map__base_footprint_yaw,tf_map_ground__base_footprint_stamp,tf_map_ground__base_footprint_x,tf_map_ground__base_footprint_y,tf_map_ground__base_footprint_z,tf_map_ground__base_footprint_yaw,tf_odom_ground__base_footprint_stamp,tf_odom_ground__base_footprint_x,tf_odom_ground__base_footprint_y,tf_odom_ground__base_footprint_z,tf_odom_ground__base_footprint_yaw,status_stamp,status_converged,status_error,status_inlier,status_rel_x,status_rel_y,status_rel_yaw,hdl_odom_stamp,hdl_odom_x,hdl_odom_y,hdl_odom_z,hdl_odom_yaw,hdl_odom_vx,hdl_odom_vy,hdl_odom_wz,fastlio_odom_stamp,fastlio_odom_x,fastlio_odom_y,fastlio_odom_z,fastlio_odom_yaw,fastlio_odom_vx,fastlio_odom_vy,fastlio_odom_wz,robot_realpose_stamp,robot_realpose_x,robot_realpose_y,robot_realpose_z,robot_realpose_yaw,cmd_vx,cmd_vy,cmd_wz,plan_n,plan_len,local_plan_n,local_plan_len,goal_x,goal_y,goal_yaw,topic_fast_lio_cloud_registered_count,topic_fast_lio_cloud_registered_hz,topic_fast_lio_cloud_registered_stamp,topic_fast_lio_cloud_registered_age,topic_airy_points_filtered_count,topic_airy_points_filtered_hz,topic_airy_points_filtered_stamp,topic_airy_points_filtered_age,topic_airy_points_count,topic_airy_points_hz,topic_airy_points_stamp,topic_airy_points_age,topic_imu_standard_count,topic_imu_standard_hz,topic_imu_standard_stamp,topic_imu_standard_age,topic_airy_imu_count,topic_airy_imu_hz,topic_airy_imu_stamp,topic_airy_imu_age
2.446417,1778663558.787280,,,,,,1778663558.7147145,-0.07195395631566237,0.012302028900573081,-1.2284031293678086,-0.0015705641428257584,,,,,,,,,,,1778663558.7147145,-0.07195395631566237,0.012302028900573081,-0.01340312936780852,-0.0015705641428257584,,,,,,,,,,,,,,,,1778663558.7127008,0.009805666428111948,0.013333436574280386,0.0010708847890491873,0.001329189490010016,0.0,0.0,0.0,,,,,,,,,,,,,,,,13,9.998487860171167,1778663558.5911844,0.13848304748535156,15,10.101434683035324,1778663558.7266078,0.05067896842956543,13,9.998972521506126,1778663558.5911844,0.10371875762939453,85,200.82103708839222,1778663558.782657,0.0007200241088867188,261,199.78298871598483,1778663558.782657,0.00036644935607910156
2.646376,1778663558.987242,,,,,,1778663558.9111454,-0.07311047277795796,0.011621336227342238,-1.2284098883681496,-0.0015865920953553154,,,,,,,,,,,1778663558.9111454,-0.07311047277795796,0.011621336227342238,-0.013409888368149492,-0.0015865920953553154,,,,,,,,,,,,,,,,1778663558.91101,0.00904704698988122,0.013337914844090509,0.00226929696000173,0.0012659328846475026,0.0,0.0,0.0,,,,,,,,,,,,,,,,15,10.048884736098133,1778663558.7900164,0.1326737403869629,17,10.144986725579434,1778663558.917415,0.05106306076049805,15,9.995546281798958,1778663558.7900164,0.10538840293884277,125,201.0514892262619,1778663558.9822998,0.0014963150024414062,301,201.28730071889964,1778663558.9822998,0.0008039474487304688
2.846294,1778663559.187162,,,,,,1778663559.1098607,-0.07332420152042968,0.011067533950471942,-1.2276103235958333,-0.0015122050917729675,,,,,,,,,,,1778663559.1098607,-0.07332420152042968,0.011067533950471942,-0.01261032359583325,-0.0015122050917729675,,,,,,,,,,,,,,,,1778663559.1097817,0.008511230268594737,0.012543591129411447,0.002392537470732246,0.001276510918968963,0.0,0.0,0.0,,,,,,,,,,,,,,,,17,10.076769132821603,1778663558.9900124,0.127302885055542,19,10.113312002237596,1778663559.1207125,0.05048060417175293,17,9.985427665057703,1778663558.9900124,0.10706496238708496,165,200.29645929797215,1778663559.182822,0.0008420944213867188,341,199.82429694958924,1778663559.182822,0.00045013427734375
3.046442,1778663559.387307,,,,,,1778663559.321329,-0.07191379018138827,0.010908512108968427,-1.2288551561654433,-0.001483800817183032,,,,,,,,,,,1778663559.321329,-0.07191379018138827,0.010908512108968427,-0.013855156165443194,-0.001483800817183032,,,,,,,,,,,,,,,,1778663559.321238,0.008346347347359765,0.013780748170350514,0.0011139430974527543,0.0012698675178523856,0.0,0.0,0.0,,,,,,,,,,,,,,,,19,9.977081282236632,1778663559.1899984,0.1436166763305664,20,10.070037069647874,1778663559.2271223,0.050986289978027344,19,9.962179660664923,1778663559.1899984,0.11156368255615234,205,197.11019983100695,1778663559.3827238,0.004263401031494141,381,199.93174022388445,1778663559.3827238,0.0004115104675292969
3.247208,1778663559.588075,,,,,,1778663559.5129392,-0.07215856031651913,0.011280591343339585,-1.2297980427748338,-0.0015233277321316846,,,,,,,,,,,1778663559.5129392,-0.07215856031651913,0.011280591343339585,-0.014798042774833764,-0.0015233277321316846,,,,,,,,,,,,,,,,1778663559.512745,0.008476779417774446,0.014724543449598783,0.0013522761588645044,0.0010732932500401831,0.0,0.0,0.0,,,,,,,,,,,,,,,,21,9.997702173019698,1778663559.3901052,0.13986539840698242,23,10.061815686540916,1778663559.5273213,0.05051612854003906,21,9.996120051516565,1778663559.3901052,0.10545730590820312,245,202.94829499982097,1778663559.582292,0.0009386539459228516,421,203.3976684189087,1778663559.582292,0.0006058216094970703
3.446346,1778663559.787208,,,,,,1778663559.7125738,-0.07220519892085281,0.010453915166779237,-1.2286739380917995,-0.0014743015961303965,,,,,,,,,,,1778663559.7125738,-0.07220519892085281,0.010453915166779237,-0.013673938091799398,-0.0014743015961303965,,,,,,,,,,,,,,,,1778663559.7124739,0.007691934706423834,0.013607185691131821,0.0012815873769426742,0.0011050074620441463,0.0,0.0,0.0,,,,,,,,,,,,,,,,23,10.026234869053832,1778663559.5906174,0.13313937187194824,25,10.018523210942027,1778663559.7362819,0.05063772201538086,23,9.99508319316881,1778663559.5906174,0.10525250434875488,285,203.7385302161104,1778663559.7823098,0.00090789794921875,461,199.8227737621319,1778663559.7823098,0.0005922317504882812
3.646265,1778663559.987128,,,,,,1778663559.912877,-0.07269129766101318,0.011366660642002036,-1.2284052765771796,-0.0014733600055842006,,,,,,,,,,,1778663559.912877,-0.07269129766101318,0.011366660642002036,-0.013405276577179492,-0.0014733600055842006,,,,,,,,,,,,,,,,1778663559.9127953,0.008550104378960444,0.013346211258788775,0.0016382555135063344,0.0010601913348733847,0.0,0.0,0.0,,,,,,,,,,,,,,,,25,10.036072847579119,1778663559.7920933,0.12879490852355957,27,10.054886829407002,1778663559.9267356,0.05043506622314453,25,10.002215399290547,1778663559.7920933,0.10216307640075684,325,199.5970278663701,1778663559.982398,0.002677440643310547,501,199.66619982881554,1778663559.982398,0.0023107528686523438
3.846668,1778663560.187531,,,,,,1778663560.1125064,-0.07361999362873828,0.010505872108897751,-1.2274600317147843,-0.001382791176312376,,,,,,,,,,,1778663560.1125064,-0.07361999362873828,0.010505872108897751,-0.01246003171478427,-0.001382791176312376,,,,,,,,,,,,,,,,1778663560.1124434,0.007751469876517357,0.012405991686709793,0.002478633789356738,0.0011061504484878625,0.0,0.0,0.0,,,,,,,,,,,,,,,,27,10.032392331908614,1778663559.9899974,0.13112688064575195,29,10.078040282808624,1778663560.1192377,0.050444602966308594,27,10.001192601906292,1778663559.9899974,0.1044771671295166,365,199.1833788436424,1778663560.182993,0.0017523765563964844,541,198.8611590764484,1778663560.182993,0.0014491081237792969
4.048365,1778663560.389229,,,,,,1778663560.3133683,-0.07361622873079221,0.010604279411210227,-1.2284884973302836,-0.0014614196011575114,,,,,,,,,,,1778663560.3133683,-0.07361622873079221,0.010604279411210227,-0.013488497330283566,-0.0014614196011575114,,,,,,,,,,,,,,,,1778663560.3132997,0.008073029474757685,0.013418545958106072,0.002738827211174609,0.0012941007885471474,0.0,0.0,0.0,,,,,,,,,,,,,,,,29,10.0219846088452,1778663560.1900184,0.13335561752319336,31,10.058258049080774,1778663560.3235486,0.0504460334777832,29,9.98359497792678,1778663560.1900184,0.10936617851257324,405,199.5761336806233,1778663560.382408,0.0010654926300048828,581,200.25973629127134,1778663560.382408,0.000301361083984375
4.246318,1778663560.587184,,,,,,1778663560.5137546,-0.07321255416150896,0.012970055033085126,-1.2298883988826563,-0.0014703691670687946,,,,,,,,,,,1778663560.5137546,-0.07321255416150896,0.012970055033085126,-0.01488839888265625,-0.0014703691670687946,,,,,,,,,,,,,,,,1778663560.5132327,0.010252729243440143,0.01481269752716922,0.0024406945277260493,0.0011413468014927252,0.0,0.0,0.0,,,,,,,,,,,,,,,,31,10.024009035771694,1778663560.3900228,0.13230562210083008,33,10.023522143979706,1778663560.5333803,0.05048012733459473,31,9.994414589929868,1778663560.3900228,0.10643768310546875,445,199.9435584132287,1778663560.582671,0.0014407634735107422,621,200.15060312830755,1778663560.582671,0.0005826950073242188
